STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Alabama,12918,5250,75299,53716,237.56,12559666,1215
Alaska,5105,2239,33450,33608,275.62,9065613,623
Arizona,17551,4050,77961,54980,234.04,12746879,1388
Arkansas,8998,4332,57284,34786,277.70,9276482,1005
California,222158,102237,1545854,1379887,341.65,465399622,34854
Colorado,10920,7678,89285,79850,457.43,35875664,2251
Connecticut,19233,17211,171441,173993,424.27,69302079,2415
Delaware,3587,1927,26754,23705,291.34,6716921,351
District of Columbia,2631,1557,25481,26026,359.83,9054380,563
Florida,25980,10188,155821,104997,253.70,26298500,6635
Georgia,45981,22040,149796,118532,318.41,34753862,4103
Hawaii,5898,2245,28325,26765,540.98,14009030,435
Idaho,7538,4840,45556,36334,349.25,12168166,746
Illinois,55133,48856,560072,486165,419.42,203262847,6714
Indiana,16945,10424,114038,86767,307.30,26475501,1002
Iowa,17461,18970,128238,154466,426.64,63087185,1795
Kansas,10128,4492,47458,36492,401.90,14287921,1024
Kentucky,14700,7319,98923,88066,377.45,33370778,1394
Louisiana,9085,3488,59245,45436,218.91,9859509,988
Maine,5369,3593,35544,30384,355.11,10598036,308
Maryland,16103,9674,122636,114270,353.36,39201549,1782
Massachusetts,30077,24606,302850,289124,545.98,153772334,4575
Michigan,54329,45059,356257,327537,331.07,105387584,4977
Minnesota,20490,21128,270549,235966,487.69,112770538,2646
Mississippi,5119,2167,39703,24399,213.15,5105134,538
Missouri,28576,11540,121674,97008,267.83,25322389,1914
Montana,5154,3964,45011,34202,400.60,12613971,625
Nebraska,4097,3272,21064,23201,360.15,8245833,248
Nevada,10527,5207,79939,66985,378.49,24541991,1332
New Hampshire,2452,1535,16528,13397,333.42,4280903,154
New Jersey,51886,36426,475753,442938,470.88,199116065,8232
New Mexico,4186,2463,41232,34258,347.47,11791563,714
New York,78414,47288,699858,619727,388.60,229081420,9878
North Carolina,16944,6954,84228,55360,272.41,14903247,3285
North Dakota,3691,3555,27456,27391,485.79,13231281,534
Ohio,35215,27496,291887,247073,387.13,94749130,2845
Oklahoma,7810,4202,67460,61718,408.13,24786816,1511
Oregon,21455,10646,136482,114697,422.49,47808577,1891
Pennsylvania,85069,55085,594580,589092,405.77,227247119,8036
Puerto Rico,8762,4684,84047,66758,162.57,10650492,1413
Rhode Island,5841,4953,46099,41343,383.46,15425900,480
South Carolina,16202,7754,77967,57228,257.56,14850928,1551
South Dakota,1426,1277,12809,10604,361.02,3755143,44
Tennessee,12588,7770,79488,71689,241.32,17102869,1312
Texas,70098,37528,587083,520543,434.23,217761822,13709
Utah,6647,4338,48344,40265,428.73,16981227,623
Vermont,2666,2138,21157,21406,400.76,8055507,137
Virgin Islands,157,130,1761,2001,417.86,817269,45
Virginia,13522,15716,96630,78203,312.80,24094491,1648
Washington,35855,16736,250356,225617,488.15,105675080,3096
West Virginia,7918,7604,72697,72567,341.01,23957295,928
Wisconsin,32573,19152,198941,160415,331.33,49514598,1308
Wyoming,2338,1510,13879,15558,416.76,6400982,201
United States,1215506,736493,8912230,7877495,384.94,2947169688,152021
Alabama,7573,3579,64999,49223,242.67,11809374,1219
Alaska,3580,1682,31550,30521,272.65,8129812,596
Arizona,13374,3821,74901,52195,234.35,12125650,1264
Arkansas,5799,2845,50731,31896,283.32,8702043,1065
California,161349,80823,1458078,1314529,338.90,440124177,30937
Colorado,8090,6406,90978,81307,459.64,36697950,2001
Connecticut,10832,8437,158909,160028,425.19,64687529,2062
Delaware,2384,1927,25602,22285,298.45,6507130,294
District of Columbia,1862,1369,25111,24633,360.69,8577751,524
Florida,20600,9948,134740,87142,254.21,21871939,5901
Georgia,22452,9896,108726,82260,318.90,25351748,3655
Hawaii,4420,1457,24715,22218,543.06,11701207,397
Idaho,4314,2775,42474,35486,354.09,11995382,1069
Illinois,39916,26143,507465,458921,426.73,195257947,5965
Indiana,11332,7529,110483,90819,305.09,27483490,1025
Iowa,9747,7935,124017,123117,428.79,51507094,1477
Kansas,6836,3338,48039,38270,404.24,15148629,920
Kentucky,10138,4627,92253,83149,383.57,32004993,1152
Louisiana,7017,2765,57236,41792,220.40,9127127,927
Maine,3070,2190,35658,31939,356.95,11261830,319
Maryland,11031,5848,116062,105857,357.78,36999215,1537
Massachusetts,24418,17153,302319,277813,549.63,149894988,3969
Michigan,23589,18348,311734,284774,329.75,92148951,4761
Minnesota,14774,10807,253169,224930,487.56,107804542,2768
Mississippi,3460,1544,33534,21688,214.71,4575876,470
Missouri,11623,7865,106721,88725,272.71,23615089,1779
Montana,3187,2046,43662,34910,397.14,12687359,699
Nebraska,2244,1923,22232,22433,365.55,8106354,270
Nevada,9815,4751,79172,65299,378.31,23891392,1467
New Hampshire,2036,953,14999,11984,339.17,3956431,137
New Jersey,35250,22337,444929,422175,474.35,193928290,7953
New Mexico,3152,1903,39921,32819,350.50,11399970,840
New York,74202,39651,674060,601813,390.07,225566954,8794
North Carolina,10865,5909,81416,53836,271.71,14463533,2893
North Dakota,1777,1713,27476,29252,485.84,14144219,718
Ohio,27945,15732,278938,240904,394.42,94202449,2603
Oklahoma,5863,3334,64502,57763,409.15,23281101,1570
Oregon,16643,6842,124432,106357,419.62,44055326,1800
Pennsylvania,53125,30677,555922,474973,413.43,188578190,6184
Puerto Rico,5940,4301,82388,67262,161.00,10621012,1680
Rhode Island,4673,2717,45658,42653,387.99,16294690,478
South Carolina,7914,3612,66077,49947,262.11,13179288,1531
South Dakota,708,632,12795,11077,365.96,3993825,63
Tennessee,8120,5007,77746,70751,241.23,16911647,1244
Texas,51410,29460,521947,442955,437.60,187184291,11961
Utah,4362,2777,47764,40160,429.50,16958570,654
Vermont,2487,1237,19667,19493,409.40,7543453,131
Virgin Islands,164,138,1744,1803,433.36,763177,38
Virginia,11061,12278,92372,76840,318.85,24147923,1650
Washington,24894,11140,222262,202883,480.75,93839034,2969
West Virginia,4655,4549,68054,70849,339.60,23535125,833
Wisconsin,25273,11626,176941,152306,337.25,48162522,1200
Wyoming,1753,1128,14303,15858,418.32,6539708,234
United States,843098,479430,8291583,7284872,386.68,2753047296,138647
Alabama,150556,10150,120663,64722,248.65,15883922,1467
Alaska,30261,2039,44616,34559,273.14,9211360,975
Arizona,193236,3914,127179,68110,234.38,15789860,1604
Arkansas,52031,16847,77649,55952,271.47,14436507,1196
California,1654010,215234,2071528,1836915,336.78,607273388,35608
Colorado,108375,16497,134319,113259,455.64,50499094,2451
Connecticut,82041,29040,282211,231201,405.97,88963548,2558
Delaware,39249,10165,43091,38411,289.62,10832783,442
District of Columbia,39175,3120,57223,31731,366.26,11270916,610
Florida,372727,8980,173330,85295,254.57,21443452,4715
Georgia,312520,63320,349609,164329,297.62,45305582,3644
Hawaii,83622,3417,55959,29207,542.52,15347485,436
Idaho,62296,11457,69568,46889,343.60,15004063,1391
Illinois,432420,48850,641319,600343,418.56,249837156,6851
Indiana,280444,23744,283933,132282,296.82,38368642,1241
Iowa,126040,15846,219395,121881,417.96,48848277,1896
Kansas,103119,17560,83086,59120,393.05,22658227,1295
Kentucky,215419,17875,159083,113840,388.34,44292633,3745
Louisiana,219100,46968,190889,108459,210.62,22215850,1057
Maine,61014,17850,80173,66540,349.92,22966053,649
Maryland,189982,20635,201030,149402,352.62,51412721,2006
Massachusetts,408645,70296,673536,393581,557.19,214894226,5142
Michigan,656570,28890,561430,408797,326.15,130314810,1576
Minnesota,282933,6462,521986,396810,452.18,171947134,4514
Mississippi,60907,13374,55357,39244,211.92,7990137,499
Missouri,196436,20527,215701,123544,269.39,32173474,2349
Montana,44005,1678,74691,48722,388.88,17511864,1065
